filename,upernet_precision,upernet_recall,upernet_f1,auraseg_precision,auraseg_recall,auraseg_f1
scene11_0023.png,0.9800844900422451,0.9287733182589033,0.9537392675683388,0.970291146761735,0.9327303561334087,0.9511400743452695
scene11_0032.png,1.0,0.8218549127640037,0.902217741935484,1.0,0.8223140495867769,0.9024943310657597
scene11_0049.png,0.6207627118644068,0.5998698763825634,0.6101374890601621,0.6184767277856136,0.597918022121015,0.608023640078745
scene11_0058.png,0.8951990632318502,0.43243243243243246,0.5831634903040488,0.8997760358342665,0.4513792142658122,0.6011747355309407
scene11_0071.png,0.9364188873305282,0.657042027590632,0.772239292027135,0.9107679107679107,0.6650625601539942,0.7687599010406868
scene11_0092.png,0.9950792782941498,0.5655039824224114,0.7211679233865167,0.9994541484716157,0.5690744301016204,0.725219556371161
scene11_0093.png,1.0,0.6610703043022036,0.7959570435881239,1.0,0.6511017838405037,0.78868763902129
scene11_0095.png,1.0,0.5403295750216826,0.7015765765765766,0.997610513739546,0.5672159583694709,0.7232247328581939
scene11_0111.png,0.9921218487394958,0.8186368887177512,0.8970687554119068,0.936757013789824,0.7916827108201772,0.8581315524025891
scene11_0127.png,0.9572072072072072,0.8355104015481374,0.8922281726386602,0.9414532148457919,0.8369617803580067,0.8861377810535231
scene11_0130.png,0.9895233106338397,0.6679040548258138,0.7975090134145529,0.994288681204569,0.6464877213021131,0.7835259244908689
scene11_0142.png,0.6351091142490373,0.6267692307692307,0.6309116129362436,0.9878726629610914,0.6258461538461538,0.7662503531156457
scene11_0144.png,0.9838187702265372,0.816557883888698,0.892418785046902,0.9336870026525199,0.7835795259361045,0.8520727641648745
scene11_0149.png,0.9339188624006691,0.6850273889227023,0.7903412472811044,0.9635210150674068,0.7172854534388314,0.8223666687868925
scene12_0007.png,0.9344894026974951,0.6847079037800687,0.7903326882597632,0.9590218109715797,0.6817010309278351,0.796924551211538
scene12_0023.png,0.9994114184814596,0.6413963328631875,0.7813454297863816,1.0,0.652327221438646,0.7895860008536065
scene12_0041.png,0.9947460595446584,0.6334340382678751,0.77400038778877,1.0,0.6482040953340047,0.7865580448065173
scene12_0046.png,1.0,0.6043004747277296,0.7533507397737162,1.0,0.6017872102764591,0.75139470013947
scene12_0050.png,0.9974133471288154,0.60741885625966,0.7550293086740222,0.9984366857738406,0.6058732612055642,0.7541262111551785
scene12_0051.png,1.0,0.6108217592592593,0.7583977007364828,1.0,0.6053240740740741,0.7541456380677722
